filename,image_path,text
AHTD3A0058_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0058_Para2_1.jpg,"كل أنشاءات التدريس مجهزة تماما .كلها جديدة و متقدمة , فشاشات الكمبيوتر"
AHTD3A0058_Para2_2.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0058_Para2_2.jpg,"كلها (بلور مسال) , السبورات —لية يمكن تحويلها ألئ شاشات للعرض ."
AHTD3A0083_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0083_Para2_1.jpg,كنت اشنري الملابس الجينز و الشورتات من علئ حدود بولندا وابيعها
AHTD3A0083_Para2_2.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0083_Para2_2.jpg,"في المجر "" . ولكنها عملت ايضا مربيه اطفال وساعيه بريد وعامله هاتف ,"
AHTD3A0083_Para2_3.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0083_Para2_3.jpg,وحاولت ان تجد عملا في الدول الجاوره للمجر . في سنة ١٩٩٢ . غادرت
AHTD3A0083_Para2_4.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0083_Para2_4.jpg,"مالي المجر الئ استراليا ومنها الئ دول عديدة . تقول ""  منذ ذلك"
AHTD3A0083_Para2_5.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0083_Para2_5.jpg,"الوقت , وشرعت اتجول حول العالم """
AHTD3A0085_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0085_Para2_1.jpg,"تقول ما لي: ""من بين الماىة والخمس والعشرين دولة التي زرتها"
AHTD3A0085_Para2_2.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0085_Para2_2.jpg,"إحببت اليمن إكثر, فقد عاملني اليمنيون معاملة كبار الزوار"""
AHTD3A0085_Para2_3.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0085_Para2_3.jpg,"في مايو ٢٠٠٧ انطلقت من سلطة عمان, وبعد ست ساعات"
AHTD3A0085_Para2_4.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0085_Para2_4.jpg,من السفر في الصحراء كانت علئ الحدود العمانية اليمنية .  بعد إن
AHTD3A0085_Para2_5.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0085_Para2_5.jpg,"نزلت من السيارة مع الركاب الثلاثة الآخرين, توجهت"
AHTD3A0085_Para2_6.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0085_Para2_6.jpg,نحو.
AHTD3A0008_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0008_Para2_1.jpg,"فلم ازدد في الدنيا و شهواتها نظرا , ألا ازددت فيها زهاذة ومنها"
AHTD3A0008_Para2_2.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0008_Para2_2.jpg,هربا . ووجدت النسك هو الذئ يمهد للمعاد كما يمهد الوالد
AHTD3A0008_Para2_3.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0008_Para2_3.jpg,"لولده , ووجدته هو الباب المفتوح الئ النعيم المقيم , ووجدت"
AHTD3A0008_Para2_4.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0008_Para2_4.jpg,"الناسك قد تدبر فعلته بالسكينه مشكر , وتواضع فاستغنئ,"
AHTD3A0008_Para2_5.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0008_Para2_5.jpg,"ورضئ ولم يهتم ,وخلع الدنيا فجا من الشرور, ورفض الشهوات"
AHTD3A0008_Para2_6.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0008_Para2_6.jpg,فصار طاهرا
AHTD3A0090_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0090_Para2_1.jpg,في الساعة الرابعة صباح اليوم الثاني والعشرين من ديسمبر ٢٠٠٧ وصلت ما لي الئ القطب الجنوبي في القارة
AHTD3A0100_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0100_Para2_1.jpg,طورت جامعة جياوتونغ بشانغهاي نظاما لقيادة السيارة بتشغيل الفكر في بيىة
AHTD3A0100_Para2_4.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0100_Para2_4.jpg,"تكون هناك حركات متوخاة, تصدر انواع مختلفة من الأشارات الموجية في المخ"
AHTD3A0101_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0101_Para2_1.jpg,"بدء تصنيع إقراص الإشعة الزرقاء في بر الصين الرىيسي, وذلك بمدينة شانغهاي."
AHTD3A0101_Para2_2.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0101_Para2_2.jpg,تبلغ سعة التخزين لقرص الإشعة الزرقاء خمسين ميغا بايت. إي ستة إضعاف
AHTD3A0101_Para2_3.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0101_Para2_3.jpg,سعة إضغاف إقراص دي في دي التقليدية. إقراص الإشعة الزرقاء التي تناسب
AHTD3A0101_Para2_4.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0101_Para2_4.jpg,"إجهزة التلفزيون العالية الوضوح, إخذت اسمها من الشراىح الإربعماىة"
AHTD3A0101_Para2_5.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0101_Para2_5.jpg,وخمس من النانو ليزز ذات اللون.
AHTD3A0104_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0104_Para2_1.jpg,مما يشير ألئ افتقاره ألئ الحزم والمثابرة والأبداع.  كانت
AHTD3A0104_Para2_2.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0104_Para2_2.jpg,"كتاباته انعكاسا لحكمه , فقد إدمن تشاو جي, خلال الربع قرن الذي"
AHTD3A0104_Para2_3.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0104_Para2_3.jpg,"إمضاه في الحكم, الخط والفن, فلم تحظ القضايا السياسية المعقدة من وقته"
AHTD3A0104_Para2_4.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0104_Para2_4.jpg,"ألا بالقليل . وفي البداية جعل قاو تشيو, لاعب كرة القدم, قاىدا للجيش,"
AHTD3A0104_Para2_5.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0104_Para2_5.jpg,ثم سلم كافة سلطات الحكم تقريبا
AHTD3A0119_Para2_1.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0119_Para2_1.jpg,"منذ عام ٢٠٠٨, يبلغ عدد الإيام ذات جودة الهواء والبيىة في هانقو إكثر"
AHTD3A0119_Para2_4.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0119_Para2_4.jpg,"مناظره الجميلة, حيث المياه النقية والسماء الزرقاء . تنتشر في ؛ الحي الإشجار"
AHTD3A0119_Para2_5.jpg,data/raw/KHATT/Train_deskewed/Train_deskewed/AHTD3A0119_Para2_5.jpg,والزهور ؛ والشجرات والإعشاب .
